ID	NEV	ERV_KEZD	ERV_VEGE	KIHIRDETES_ID
1201	"Csepi & Csepi spol. s.r.o."	2015.01.01	2099.12.31	1001
1202	"1A Pharma GmbH"	2015.01.01	2099.12.31	1001
1203	"Abbott Laboratories Ltd"	2015.01.01	2099.12.31	1001
1204	"Actavis Group Ltd."	2015.01.01	2099.12.31	1001
1205	"Actavis Ltd. Málta"	2015.01.01	2099.12.31	1001
1206	"Actavis Nordic A/S"	2015.01.01	2099.12.31	1001
1207	"Actavis Slovakia o.z."	2015.01.01	2099.12.31	1001
1208	"Adamed Sp. z.o.o."	2015.01.01	2099.12.31	1001
1209	"ADMEDA Arzneimittel GmbH"	2015.01.01	2099.12.31	1001
121	"Nestlé Hungária Kft."	2015.01.01	2099.12.31	1001
1210	"Alcon Cusi S.A."	2015.01.01	2099.12.31	1001
1211	"Alcon Laboratories Ltd."	2015.01.01	2099.12.31	1001
1212	"Alfa Wassermann S.p.A."	2015.01.01	2099.12.31	1001
1213	"Alfred E.Tiefenbacher GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1214	"Aliud Pharma GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1215	"Allergan Pharmaceuticals Ireland"	2015.01.01	2099.12.31	1001
1216	"Almirall Prodesfarma SA"	2015.01.01	2099.12.31	1001
1217	"Alpharma ApS"	2015.01.01	2099.12.31	1001
1218	"Altana Pharma AG"	2015.01.01	2099.12.31	1001
122	"S.A.M.  Orvostudományi Szolgáltató és Kereskedelmi Kft."	2015.01.01	2099.12.31	1001
1220	"Amersham Health AS"	2015.01.01	2099.12.31	1001
1221	"Amgen Europe BV"	2015.01.01	2099.12.31	1001
1222	"Apotex Europe Ltd."	2015.01.01	2099.12.31	1001
1223	"Apotex Inc."	2015.01.01	2099.12.31	1001
1225	"Arrow Generics Limited"	2015.01.01	2099.12.31	1001
1226	"Astellas Pharma Europe BV"	2015.01.01	2099.12.31	1001
1227	"Astellas Pharma GmbH"	2015.01.01	2099.12.31	1001
1228	"AstraZeneca UK Limited"	2015.01.01	2099.12.31	1001
1229	"Aventis Behring GmbH"	2015.01.01	2099.12.31	1001
123	"Numil Hungary Tápszerkereskedelmi Kft."	2015.01.01	2099.12.31	1001
1230	"Aventis Pasteur SA"	2015.01.01	2099.12.31	1001
1231	"Sanofi Aventis Pharma Deutschland GmbH"	2015.01.01	2099.12.31	1001
1232	"Aventis Pharma S.A."	2015.01.01	2099.12.31	1001
1233	"AWD Pharma GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1234	"Axcan Pharma SA"	2015.01.01	2099.12.31	1001
1235	"B. Braun Melsungen AG"	2015.01.01	2099.12.31	1001
1236	"Baxter AG"	2015.01.01	2099.12.31	1001
1237	"Baxter Oncology GmbH"	2015.01.01	2099.12.31	1001
1239	"Bayer HealthCare AG"	2015.01.01	2099.12.31	1001
124	"Medisan  Hungary Szolgáltató és Kereskedelmi Kft."	2015.01.01	2099.12.31	1001
1240	"Beaufour Ipsen International"	2015.01.01	2099.12.31	1001
1242	"Bene Arzneimittel GmbH"	2015.01.01	2099.12.31	1001
1243	"Berlin-Chemie AG Menarini Group"	2015.01.01	2099.12.31	1001
1244	"Biogal-Teva Pharma Zrt."	2015.01.01	2099.12.31	1001
1245	"Biogen Idec Limited"	2015.01.01	2099.12.31	1001
1246	"Bioglan AB"	2015.01.01	2099.12.31	1001
1247	"Biomet Merck BioMaterials GmbH"	2015.01.01	2099.12.31	1001
1248	"Boehringer Ingelheim International GmbH"	2015.01.01	2099.12.31	1001
1249	"Bracco Imaging S.P.A."	2015.01.01	2099.12.31	1001
125	"B. Braun Medical Kft.ársaság"	2015.01.01	2099.12.31	1001
1250	"Bristol-Myers Squibb Pharma Belgium SPRL"	2015.01.01	2099.12.31	1001
1251	"Bristol-Myers Squibb Pharma EEIG"	2015.01.01	2099.12.31	1001
1252	"Bristol-Myers Squibb Pharma EEIG"	2015.01.01	2099.12.31	1001
1253	"Centocor B.V."	2015.01.01	2099.12.31	1001
1254	"Chauvin-Ankerpharm GmbH"	2015.01.01	2099.12.31	1001
1255	"Chiesi Farmaceutici SpA"	2015.01.01	2099.12.31	1001
1256	"Chinoin Zrt."	2015.01.01	2099.12.31	1001
1257	"Novartis Vaccines & Diagnostics GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1258	"Chiron Corporation Limited"	2015.01.01	2099.12.31	1001
1259	"Novartis Vaccines and Diagnostics S.r.l."	2015.01.01	2099.12.31	1001
1260	"Chugai-Aventis Pharma"	2015.01.01	2099.12.31	1001
1261	"Covex SA"	2015.01.01	2099.12.31	1001
1262	"CSC Pharmaceuticals GmbH"	2015.01.01	2099.12.31	1001
1263	"CSC Pharmaceuticals Handels GmbH"	2015.01.01	2099.12.31	1001
1264	"DeltaSelect GmbH"	2015.01.01	2099.12.31	1001
1265	"Desitin Arzneimittel GmbH"	2015.01.01	2099.12.31	1001
1266	"Desitin Pharma s.r.o."	2015.01.01	2099.12.31	1001
1267	"Dexcel Pharma Ltd."	2015.01.01	2099.12.31	1001
1268	"Dr. Falk Pharma GmbH"	2015.01.01	2099.12.31	1001
1269	"Dr. Gerhard Mann Chem.-pharm. Fabrik GmbH"	2015.01.01	2099.12.31	1001
127	"Novartis Vaccines & Diagnostics GmbH & Co KG Magyarországi Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
1270	"Dr. Köhler Chemie GmbH"	2015.01.01	2099.12.31	1001
1271	"Dr. Wolff GmbH"	2015.01.01	2099.12.31	1001
1272	"Ebewe Pharma GmbH Nfg.KG"	2015.01.01	2099.12.31	1001
1273	"Eli Lilly Nederland B. V."	2015.01.01	2099.12.31	1001
1275	"Ethypharm S.A."	2015.01.01	2099.12.31	1001
1276	"Euro Nippon Kayaku GmbH"	2015.01.01	2099.12.31	1001
1277	"Eurocept Pharmaceuticals BV"	2015.01.01	2099.12.31	1001
1278	"Eurodrug Laboratories B.V."	2015.01.01	2099.12.31	1001
1279	"Ewopharma International s. r. o."	2015.01.01	2099.12.31	1001
1280	"E-Z-EM Limited "	2015.01.01	2099.12.31	1001
1281	"Farco Pharma GmbH"	2015.01.01	2099.12.31	1001
1282	"Ferring Pharmaceuticals A/S"	2015.01.01	2099.12.31	1001
1284	"Ferring AB"	2015.01.01	2099.12.31	1001
1285	"Ferring GmbH"	2015.01.01	2099.12.31	1001
1286	"Forest Laboratories UK Ltd."	2015.01.01	2099.12.31	1001
1287	"Fresenius Kabi AB, Uppsala"	2015.01.01	2099.12.31	1001
1288	"Fresenius Kabi Austria GmbH"	2015.01.01	2099.12.31	1001
1289	"Fresenius Kabi Deutschland GmbH"	2015.01.01	2099.12.31	1001
1290	"Galderma International"	2015.01.01	2099.12.31	1001
1291	"Gebro Pharma GmbH"	2015.01.01	2099.12.31	1001
1292	"Generics UK Ltd."	2015.01.01	2099.12.31	1001
1293	"Genetics Institute of Europe B.V."	2015.01.01	2099.12.31	1001
1294	"Genthon BV"	2015.01.01	2099.12.31	1001
1295	"Genzyme Europe B.V."	2015.01.01	2099.12.31	1001
1296	"Gerot Pharmazeutika GmbH"	2015.01.01	2099.12.31	1001
1297	"Gilead Sciences International Limited"	2015.01.01	2099.12.31	1001
1298	"Glaxo Group Limited"	2015.01.01	2099.12.31	1001
1299	"GlaxoSmithKline Biologicals S.A."	2015.01.01	2099.12.31	1001
13	"Lilly Hungaria Kft."	2015.01.01	2099.12.31	1001
130	"Naturprodukt Kft."	2015.01.01	2099.12.31	1001
1300	"Grindeks"	2015.01.01	2099.12.31	1001
1301	"Grünenthal GmbH"	2015.01.01	2099.12.31	1001
1302	"GSK Consumer Healthcare GSK Export Ltd."	2015.01.01	2099.12.31	1001
1303	"Guerbet GmbH"	2015.01.01	2099.12.31	1001
1304	"Guerbet Group"	2015.01.01	2099.12.31	1001
1305	"H. Lundbeck A/S"	2015.01.01	2099.12.31	1001
1306	"Hal Allergy BV"	2015.01.01	2099.12.31	1001
1307	"Hal Allergie GmbH"	2015.01.01	2099.12.31	1001
1308	"Heinrich Mack Nachf. GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1309	"Helsinn Birex Pharmaceuticals Ltd."	2015.01.01	2099.12.31	1001
131	"Fresenius Kabi Hungary Kft. (KK)"	2015.01.01	2099.12.31	1001
1310	"Almirall Hermal GmbH"	2015.01.01	2099.12.31	1001
1311	"Hexal AG"	2015.01.01	2099.12.31	1001
1312	"Inst. Grifols SA"	2015.01.01	2099.12.31	1001
1313	"IPSEN Limited"	2015.01.01	2099.12.31	1001
1314	"IVAX Pharmaceuticals s.r.o."	2015.01.01	2099.12.31	1001
1315	"JANSSEN-CILAG INTERNATIONAL NV"	2015.01.01	2099.12.31	1001
1316	"Kéri Pharma Kft."	2015.01.01	2099.12.31	1001
1317	"Krka d.d."	2015.01.01	2099.12.31	1001
1318	"Krka Polska Sp.z.o.o."	2015.01.01	2099.12.31	1001
1319	"Kwizda Pharma GmbH"	2015.01.01	2099.12.31	1001
1320	"Kyowa Hakko Kirin UK Ltd."	2015.01.01	2099.12.31	1001
1321	"Lab. Guidotti S.p.A."	2015.01.01	2099.12.31	1001
1322	"Laboratoires Besins International SA"	2015.01.01	2099.12.31	1001
1323	"Laboratories Aventis"	2015.01.01	2099.12.31	1001
1324	"Laboratorio Farmaceutico SIT Srl."	2015.01.01	2099.12.31	1001
1325	"Laboratorio Farmacologico Milanese Srl"	2015.01.01	2099.12.31	1001
1326	"Lek Pharmaceuticals d.d."	2015.01.01	2099.12.31	1001
1327	"Leo Pharmaceutical Products Ltd, A/S"	2015.01.01	2099.12.31	1001
1328	"Les Laboratories Servier"	2015.01.01	2099.12.31	1001
1329	"Liconsa SA"	2015.01.01	2099.12.31	1001
1330	"Lisapharma S.p.A."	2015.01.01	2099.12.31	1001
1331	"H. Lundbeck A/S"	2015.01.01	2099.12.31	1001
1332	"Madaus GmbH"	2015.01.01	2099.12.31	1001
1333	"Mayne Pharma Plc"	2015.01.01	2099.12.31	1001
1334	"MEDA AB"	2015.01.01	2099.12.31	1001
1335	"MEDA Pharma GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1336	"Meda Pharma Hungary Kft."	2015.01.01	2099.12.31	1001
1337	"Merck Generics Limited"	2015.01.01	2099.12.31	1001
1338	"Merck KgaA"	2015.01.01	2099.12.31	1001
1339	"Merck Sante s.a.s."	2015.01.01	2099.12.31	1001
134	"Medinspect Egészségügyi-, Környezetvédelmi-, Kereskedelmi- és Szolgáltató Kft."	2015.01.01	2099.12.31	1001
1340	"Merck Sharp & Dohme Limited"	2015.01.01	2099.12.31	1001
1341	"Merz Pharmaceuticals GmbH"	2015.01.01	2099.12.31	1001
1342	"Monarch Pharmaceuticals Ireland"	2015.01.01	2099.12.31	1001
1343	"N.V. Organon"	2015.01.01	2099.12.31	1001
1344	"Neopharma Ltd."	2015.01.01	2099.12.31	1001
1345	"Norton Healthcare Limited"	2015.01.01	2099.12.31	1001
1346	"Novartis Europharm Limited"	2015.01.01	2099.12.31	1001
1347	"Novartis Ophthalmics AG"	2015.01.01	2099.12.31	1001
1348	"Novo Nordisk A/S"	2015.01.01	2099.12.31	1001
1349	"Nycomed Austria GmbH"	2015.01.01	2099.12.31	1001
1350	"Nycomed Christiaens"	2015.01.01	2099.12.31	1001
1351	"Octapharma (IP) Ltd."	2015.01.01	2099.12.31	1001
1352	"Octapharma GmbH"	2015.01.01	2099.12.31	1001
1353	"Octapharma Nordic AB"	2015.01.01	2099.12.31	1001
1354	"OM Portuguesa Laboratório de Especialidades Farmac?uticas S.A."	2015.01.01	2099.12.31	1001
1355	"Orion Corporation"	2015.01.01	2099.12.31	1001
1356	"Orion Pharma A/S"	2015.01.01	2099.12.31	1001
1357	"Ortho-Clinical Diagnostics Johnson & Johnson"	2015.01.01	2099.12.31	1001
1358	"Otsuka Pharmaceutical Europe Ltd"	2015.01.01	2099.12.31	1001
1359	"Pabianickie Zak³ady Farmaceutyczne Polfa SA"	2015.01.01	2099.12.31	1001
1360	"Pascoe Pharmazeutische Präparate GmbH"	2015.01.01	2099.12.31	1001
1361	"Pfizer Limited "	2015.01.01	2099.12.31	1001
1362	"Pharma Avalanche s.r.o."	2015.01.01	2099.12.31	1001
1363	"Pharmaceutical Company Jelfa SA"	2015.01.01	2099.12.31	1001
1364	"Pharmaceutical Works POLPHARMA S.A."	2015.01.01	2099.12.31	1001
1365	"Pharmaco"	2015.01.01	2099.12.31	1001
1366	"Pharmaconsult Kft."	2015.01.01	2099.12.31	1001
1367	"PharmaNord ApS"	2015.01.01	2099.12.31	1001
1368	"Pharma-Regist Kft."	2015.01.01	2099.12.31	1001
1369	"Pharmion Ltd."	2015.01.01	2099.12.31	1001
137	"Omninvest Oltóanyagtermelõ és Kutatásfejlesztõ Kft."	2015.01.01	2099.12.31	1001
1370	"Pierre Fabre Médicament"	2015.01.01	2099.12.31	1001
1371	"Pint Pharma GmbH"	2015.01.01	2099.12.31	1001
1372	"Pliva-Lachema a.s."	2015.01.01	2099.12.31	1001
1373	"Pohl-Boskamp GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1374	"Procter and Gamble Pharmaceuticals Germany GmbH"	2015.01.01	2099.12.31	1001
1375	"Prodotto Formenti"	2015.01.01	2099.12.31	1001
1376	"Quality Burnley Ltd."	2015.01.01	2099.12.31	1001
1377	"Ranbaxy UK Ltd."	2015.01.01	2099.12.31	1001
1379	"Roche Registration Limited"	2015.01.01	2099.12.31	1001
1380	"Rottapharm S.p.A"	2015.01.01	2099.12.31	1001
1381	"Rowa Pharmaceuticals Ltd."	2015.01.01	2099.12.31	1001
1383	"Sandoz Pharmaceuticals GmbH"	2015.01.01	2099.12.31	1001
1384	"Sankyo Pharma GmbH"	2015.01.01	2099.12.31	1001
1385	"Sanochemia AG"	2015.01.01	2099.12.31	1001
1386	"Sanofi Pasteur MSD SNC"	2015.01.01	2099.12.31	1001
1387	"Sanofi Pharma Bristol-Myers Squibb SNC"	2015.01.01	2099.12.31	1001
1388	"Sanofi-Synthélabo"	2015.01.01	2099.12.31	1001
1389	"SANOFI-AVENTIS/PARIS"	2015.01.01	2099.12.31	1001
139	"Biotest Hungaria Kereskedelmi És Szolgáltató Kft."	2015.01.01	2099.12.31	1001
1390	"Santen OY"	2015.01.01	2099.12.31	1001
1391	"Bayer Schering Pharma AG"	2015.01.01	2099.12.31	1001
1392	"Bayer Schering Pharma Oy"	2015.01.01	2099.12.31	1001
1393	"Schering-Plough Europe"	2015.01.01	2099.12.31	1001
1394	"Schwarz Pharma AG"	2015.01.01	2099.12.31	1001
1395	"Serono Austria GmbH"	2015.01.01	2099.12.31	1001
1396	"Merck Serono Europe Ltd."	2015.01.01	2099.12.31	1001
1397	"Sindan Ltd."	2015.01.01	2099.12.31	1001
1398	"Slovakofarma AS"	2015.01.01	2099.12.31	1001
1399	"SmithKline Beecham Biologicals S. A."	2015.01.01	2099.12.31	1001
1400	"SmithKline Beecham Plc."	2015.01.01	2099.12.31	1001
1401	"Solvay Pharma"	2015.01.01	2099.12.31	1001
1402	"Solvay Pharmaceuticals B.V."	2015.01.01	2099.12.31	1001
1403	"Solvay Pharmaceuticals GmbH"	2015.01.01	2099.12.31	1001
1404	"SP Europe"	2015.01.01	2099.12.31	1001
1405	"Stada Arzneimittel AG"	2015.01.01	2099.12.31	1001
1406	"Stiefel Laboratories (UK) Ltd. Eurasia Headquarters"	2015.01.01	2099.12.31	1001
1407	"Stragen Nordic A/S"	2015.01.01	2099.12.31	1001
1408	"Strathmann AG"	2015.01.01	2099.12.31	1001
1409	"T.J. Smith & Nephew Ltd."	2015.01.01	2099.12.31	1001
1410	"T3A Pharma Group GmbH"	2015.01.01	2099.12.31	1001
1411	"Tarchomin Pharmaceutical Works Polfa SA"	2015.01.01	2099.12.31	1001
1412	"TEVA Gyógyszergyár Zrt."	2015.01.01	2099.12.31	1001
1413	"Teva Pharma Kft."	2015.01.01	2099.12.31	1001
1414	"Shire Human Genetic Therapies AB"	2015.01.01	2099.12.31	1001
1415	"Chiesi Pharmaceuticals GmbH"	2015.01.01	2099.12.31	1001
1416	"Trommsdorff GmbH"	2015.01.01	2099.12.31	1001
1417	"Covidien Deutschland GmbH"	2015.01.01	2099.12.31	1001
1418	"UCB S.A."	2015.01.01	2099.12.31	1001
1419	"Valeant Pharmaceuticals Ltd."	2015.01.01	2099.12.31	1001
1420	"Warsaw Pharmaceutical Works Polfa JSC"	2015.01.01	2099.12.31	1001
1422	"Wörwag Pharma GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1423	"Wyeth Europe Ltd."	2015.01.01	2099.12.31	1001
1424	"Wyeth Lederle Vaccines S.A."	2015.01.01	2099.12.31	1001
1425	"Wyeth Pharmaceuticals"	2015.01.01	2099.12.31	1001
1426	"Wyeth Whitehall Export GmbH"	2015.01.01	2099.12.31	1001
1427	"x"	2015.01.01	2099.12.31	1001
1428	"Yamanouchi Europe B.V."	2015.01.01	2099.12.31	1001
1429	"Zambon Group S.p.A."	2015.01.01	2099.12.31	1001
1430	"Zeneus Pharma Ltd."	2015.01.01	2099.12.31	1001
1432	"CSL Behring GmbH"	2015.01.01	2099.12.31	1001
1437	"Nycomed Danmark ApS"	2015.01.01	2099.12.31	1001
1441	"Cziher Hungary Kft."	2015.01.01	2099.12.31	1001
1442	"Laboratoires Fournier S.A."	2015.01.01	2099.12.31	1001
1444	"Zentiva HU Kft."	2015.01.01	2099.12.31	1001
1445	"Berpharma Gyógyszermarketing Szolgáltató Betéti Társaság"	2015.01.01	2099.12.31	1001
1446	"Bristol Labarotories Ltd."	2015.01.01	2099.12.31	1001
1448	"Novartis Hungária Kft."	2015.01.01	2099.12.31	1001
1450	"medac Gesellschaft für klinische Spezialpräparate mbH"	2015.01.01	2099.12.31	1001
1451	"AXXESS Kommunikációs Korlátolt Felelõsségû Társaság"	2015.01.01	2099.12.31	1001
1456	"Zentiva a.s. CZ Praha"	2015.01.01	2099.12.31	1001
1457	"Medico Uno Pharma Kft."	2015.01.01	2099.12.31	1001
1458	"ALTANA Pharma Oranienburg GmbH"	2015.01.01	2099.12.31	1001
1459	"Ozone Laboratories Ltd."	2015.01.01	2099.12.31	1001
1460	"Menarini International Operations Luxembourg SA"	2015.01.01	2099.12.31	1001
1461	"Jenapharm GmbH & Co. KG"	2015.01.01	2099.12.31	1001
1462	"OrPha Devel Handels und Vertrielbs GmbH Ausztria"	2015.01.01	2099.12.31	1001
1463	"Eisai Ltd European Knowledge Centre Accounts Payabl"	2015.01.01	2099.12.31	1001
1464	"Goodwill Pharma Orvos és Gyógyszertudományi Kereskedelmi és Szolgáltató Zártkörû Részvénytársaság"	2015.01.01	2099.12.31	1001
1465	"Dr. Reddy,s Laboratories (UK) Ltd"	2015.01.01	2099.12.31	1001
1466	"Nestlé Deutschland AG "	2015.01.01	2099.12.31	1001
1467	"Focus Farma BV"	2015.01.01	2099.12.31	1001
1468	"Dr. Schlichtiger GmbH"	2015.01.01	2099.12.31	1001
1470	"MADAUS Gyógyszerkereskedelmi Kft"	2015.01.01	2099.12.31	1001
1471	"PHARMA-REGIST Kft."	2015.01.01	2099.12.31	1001
1472	"Shire Pharmaceutical Contracts Limited"	2015.01.01	2099.12.31	1001
1474	"Econova Consulting Kft."	2015.01.01	2099.12.31	1001
1475	"Merck Génériques"	2015.01.01	2099.12.31	1001
1476	"AOP Orphan Pharmaceuticals AG Magyarországi Közvetlen Kereskedelmi Képviselet"	2015.01.01	2099.12.31	1001
1477	"ProStrakan Limited"	2015.01.01	2099.12.31	1001
1479	"Medac Gesellschaft für Klinische Spezialpraparate GmbH"	2015.01.01	2099.12.31	1001
1480	"Przedsiebiorstwo Farmaceutyczne JELFA Spolka Akcyjna Magyarországi Közvetlen Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
1481	"Jelfa S. A."	2015.01.01	2099.12.31	1001
1483	"ALKALOIDA Vegyészeti Gyár zártkörûen mûködõ Részvénytársaság"	2015.01.01	2099.12.31	1001
1484	"Teofarma S. r. l."	2015.01.01	2099.12.31	1001
1485	"Amdipharm Limited"	2015.01.01	2099.12.31	1001
15040	"CEUMED Korlátolt Felelõsségû Társaság"	2015.01.01	2099.12.31	1001
156	"Bristol-Myers Squibb Gyógyszerkereskedelmi Kft."	2015.01.01	2099.12.31	1001
1593	"ratiopharm GmbH"	2015.01.01	2099.12.31	1001
1602	"Takeda Global Research and Development Centre (Europe) Ltd."	2015.01.01	2099.12.31	1001
1616	"Ozone Laboratories B.V"	2015.01.01	2099.12.31	1001
1617	"SANOFI PASTEUR SA"	2015.01.01	2099.12.31	1001
1618	"Mundipharma GmbH"	2015.01.01	2099.12.31	1001
1619	"Vera Pharma Kft."	2015.01.01	2099.12.31	1001
162	"GE Healthcare ( South Central Europe ) Handels"	2015.01.01	2099.12.31	1001
1622	"Mensana Pharma Ltd."	2015.01.01	2099.12.31	1001
1623	"ONCOPHARMA Kft."	2015.01.01	2099.12.31	1001
1624	"Ipsen Pharma S.A.S"	2015.01.01	2099.12.31	1001
1625	"Walmark a. s."	2015.01.01	2099.12.31	1001
1626	"PharmaSwiss Èeská republika s.r.o."	2015.01.01	2099.12.31	1001
1627	"PharmaSwiss Magyarország Kft."	2015.01.01	2099.12.31	1001
1628	"Hospira UK Ltd."	2015.01.01	2099.12.31	1001
1629	"Cephalon (UK) Ltd."	2015.01.01	2099.12.31	1001
163	"MEDI - ZONE Kereskedelmi és Szolgáltató Betéti Társaság"	2015.01.01	2099.12.31	1001
1630	"Cephalon Europe Ltd."	2015.01.01	2099.12.31	1001
1631	"Humán BioPlazma Kft."	2015.01.01	2099.12.31	1001
1632	"Nycomed Pharma AS"	2015.01.01	2099.12.31	1001
1633	"Gebro Pharma Kereskedelmi Korlátolt Felelõsségú Társaság"	2015.01.01	2099.12.31	1001
1635	"Mylan Kft."	2015.01.01	2099.12.31	1001
171	"Shila-Medic Korlátolt Felelõsségû Társaság"	2015.01.01	2099.12.31	1001
174	"TARASCO Kereskedelmi és Szolgáltató Kft."	2015.01.01	2099.12.31	1001
177	"SANOFI-AVENTIS Zrt."	2015.01.01	2099.12.31	1001
185	"Pharmahim-H Kereskedelmi és Szolgáltató Kft."	2015.01.01	2099.12.31	1001
1893	"WALLMARK Kft."	2015.01.01	2099.12.31	1001
1894	"Actelion Registration Ltd."	2015.01.01	2099.12.31	1001
1895	"Hospira Enterprises B.V."	2015.01.01	2099.12.31	1001
19	"Abbott Laboratories (Magyarország) Kft."	2015.01.01	2099.12.31	1001
20	"Janssen-Cilag  Gyógyszerkereskedelmi Marketing Szolgáltató Kft."	2015.01.01	2099.12.31	1001
21	"AstraZeneca Kft."	2015.01.01	2099.12.31	1001
214	"Akadimpex Külkereskedelmi Kft."	2015.01.01	2099.12.31	1001
225	"HUMANPHARMA Gyógyszergyártó Kft."	2015.01.01	2099.12.31	1001
236	"Pliva Hungária Kereskedelmi és Szolgáltató Kft."	2015.01.01	2099.12.31	1001
237	"H-W-H Kft."	2015.01.01	2099.12.31	1001
240	"Esparma GmbH"	2015.01.01	2099.12.31	1001
26318	"Vitabalans Oy"	2015.01.01	2099.12.31	1001
26319	"VITABALANS Kft."	2015.01.01	2099.12.31	1001
26320	"Dabur Oncology Plc."	2015.01.01	2099.12.31	1001
26321	"Anpharm Przedsiebiorstwo Farmaceutiyczne S.A."	2015.01.01	2099.12.31	1001
26322	"Daiichi Sancyo Europe GmbH"	2015.01.01	2099.12.31	1001
26325	"+pharma Hungária Kft."	2015.01.01	2099.12.31	1001
26327	"Apotex Europe B.V."	2015.01.01	2099.12.31	1001
26328	"Synthon BV"	2015.01.01	2099.12.31	1001
26329	"MCM Klosterfrau Vertriebgesellschaft GmbH"	2015.01.01	2099.12.31	1001
26330	"McNeil AB"	2015.01.01	2099.12.31	1001
26331	"MDS NORDION S.A."	2015.01.01	2099.12.31	1001
26333	"Medice Pharma GmbH & Co. KG"	2015.01.01	2099.12.31	1001
