ATC	MEGNEV	ANGOL	HATOANYAG	KIHIRDETES_ID
"A02AA55"	"magnézium triszilikát+"		"magnézium-vegyületek, k.m.n. (2)"	1001
"A02AB"	"alumínium-vegyületek"	"aluminium compounds"		1001
"A02AB01"	"aluminium hydroxide"	"aluminium hydroxide"	"aluminium hydroxide"	1001
"A02AB02"	"algeldrate"	"algeldrate"	"algeldrate"	1001
"A02AB03"	"aluminium phosphate"	"aluminium phosphate"	"aluminium phosphate"	1001
"A02AB04"	"dihydroxialumini sodium carbonate"	"dihydroxialumini sodium carbonate"	"dihydroxialumini sodium carbonate"	1001
"A02AB05"	"aluminium acetoacetate"	"aluminium acetoacetate"	"aluminium acetoacetate"	1001
"A02AB06"	"aloglutamol"	"aloglutamol"	"aloglutamol"	1001
"A02AB07"	"aluminium glycinate"	"aluminium glycinate"	"aluminium glycinate"	1001
"A02AB10"	"combinations"	"combinations"	"combinations"	1001
"A02AB11"	"alexitol nátrium"		"alexitol nátrium"	1001
"A02AC"	"kalcium-vegyületek"	"calcium compounds"		1001
"A02AC01"	"calcium carbonate"	"calcium carbonate"	"calcium carbonate"	1001
"A02AC02"	"calcium silicate"	"calcium silicate"	"calcium silicate"	1001
"A02AC10"	"combinations"	"combinations"	"combinations"	1001
"A02AD"	"alumínium-, kalcium- és magnézium-vegyületek kombinációi és komplexei"	"combinations and complexes of aluminium, calcium and magnesium compounds"		1001
"A02AD01"	"egyszerû aluminium-,kalcium-,magnézium-sók kombinációi"	"ordinary salt combinations"	"egyszerû só kombinációk"	1001
"A02AD02"	"magaldrate"	"magaldrate"	"magaldrate"	1001
"A02AD03"	"almagate"	"almagate"	"almagate"	1001
"A02AD04"	"hidrotalcit"	"hydrotalcite"	"hidrotalcit"	1001
"A02AD05"	"almasilate"	"almasilate"	"almasilate"	1001
"A02AD51"	"alumínium hidroxid"		"alumínium hidroxid"	1001
"A02AF"	"antacidok és felfúvódás-elleni szerek kombinációi"	"antacids with antiflatulents"		1001
"A02AF01"	"magaldrate and antiflatulents"	"magaldrate and antiflatulents"	"magaldrate and antiflatulents"	1001
"A02AF02"	"ordinary salt combinations and antiflatulents"	"ordinary salt combinations and antiflatulents"	"ordinary salt combinations and antiflatulents"	1001
"A02AG"	"antacidok görcsoldókkal"	"antacids with antispasmodics"		1001
"A02AH"	"nátrium-hidrogénkarbonát tartalmú antacidok"	"antacids with sodium bicarbonate"		1001
"A02AX"	"egyéb antacid-kombinációk"	"antacids, other combinations"		1001
"A02AX17"	"nátrium biszulfát"		"nátrium biszulfát"	1001
"A02AX19"	"aluminium hy"		"aluminium hy"	1001
"A02B"	"peptikus fekély kezelésének gyógyszerei"	"drugs for treatment of peptic ulcer"		1001
"A02BA"	"h2-receptor blokkolók"	"h2-receptor antagonists"		1001
"A02BA01"	"cimetidin"	"cimetidine"	"cimetidin"	1001
"A02BA02"	"ranitidin"	"ranitidine"	"ranitidin"	1001
"A02BA03"	"famotidin"	"famotidine"	"famotidin"	1001
"A02BA04"	"nizatidin"	"nizatidine"	"nizatidin"	1001
"A02BA05"	"niperotidine"	"niperotidine"	"niperotidine"	1001
"A02BA06"	"roxatidine"	"roxatidine"	"roxatidine"	1001
"A02BA07"	"ranitidin - bizmut-citrát kombináció"	"ranitidine bismuth citrate"	"ranitidin - bizmut-citrát kombináció"	1001
"A02BA08"	"lafutidin"		"lafutidin"	1001
"A02BA20"	"roxatidin acetát"		"roxatidin acetát"	1001
"A02BA51"	"cimetidine, combinations"	"cimetidine, combinations"	"cimetidine, combinations"	1001
"A02BA53"	"famotidin kombinációi"		"famotidin kombinációi"	1001
"A02BB"	"prosztaglandinok"	"prostaglandins"		1001
"A02BB01"	"misoprostol"	"misoprostol"	"misoprostol"	1001
"A02BB02"	"enprostil"	"enprostil"	"enprostil"	1001
"A02BC"	"proton pumpa inhibítorok"	"proton pump inhibitors"		1001
"A02BC01"	"omeprazol"	"omeprazole"	"omeprazol"	1001
"A02BC02"	"pantoprazol"	"pantoprazole"	"pantoprazol"	1001
"A02BC03"	"lansoprasol"	"lansoprazole"	"lansoprazol"	1001
"A02BC04"	"rabeprazole"	"rabeprazole"	"rabeprazol"	1001
"A02BC05"	"esomeprazole"	"esomeprazole"	"esomeprazol"	1001
"A02BC06"	"dexlanzoprazol"	"dexlansoprazole"	"dexlanzoprazol"	1001
"A02BD"	"combinations for eradication of helicobacter pylori"	"combinations for eradication of helicobacter pylori"		1001
"A02BD01"	"omeprazole, amoxicillin and metronidazole"	"omeprazole, amoxicillin and metronidazole"	"omeprazole, amoxicillin and metronidazole"	1001
"A02BD02"	"lansoprazole, tetracycline and metronidazole"	"lansoprazole, tetracycline and metronidazole"	"lansoprazole, tetracycline and metronidazole"	1001
"A02BD03"	"lansoprazole, amoxicillin and metronidazole"	"lansoprazole, amoxicillin and metronidazole"	"lansoprazole, amoxicillin and metronidazole"	1001
"A02BD04"	"pantoprazole, amoxicillin and clarithromycin"	"pantoprazole, amoxicillin and clarithromycin"	"pantoprazole, amoxicillin and clarithromycin"	1001
"A02BD05"	"omeprazole, amoxicillin and clarithromycin"	"omeprazole, amoxicillin and clarithromycin"	"omeprazole, amoxicillin and clarithromycin"	1001
"A02BD06"	"esomeprazol, amoxicillin"		"esomeprazol, amoxicillin"	1001
"A02BD08"	"	bismuth subcitrate, tetracycline and metronidazole"	"	bismuth subcitrate, tetracycline and metronidazole"	"	bismuth subcitrate, tetracycline and metronidazole"	1001
"A02BX"	"peptikus fekély kezelésének egyéb gyógyszerei"	"other drugs for treatment of peptic ulcer"		1001
"A02BX01"	"carbenoxolone"	"carbenoxolone"	"carbenoxolone"	1001
"A02BX02"	"sucralfat"	"sucralfate"	"sucralfat"	1001
"A02BX03"	"pirenzepin"	"pirenzepine"	"pirenzepin"	1001
"A02BX04"	"methiosulfonium chloride"	"methiosulfonium chloride"	"methiosulfonium chloride"	1001
"A02BX05"	"bizmut-szubcitrát"	"bismuth subcitrate"	"bizmut-szubcitrát"	1001
"A02BX06"	"proglumide"	"proglumide"	"proglumide"	1001
"A02BX07"	"gefarnate"	"gefarnate"	"gefarnate"	1001
"A02BX08"	"sulglicotide"	"sulglicotide"	"sulglicotide"	1001
"A02BX09"	"acetoxolone"	"acetoxolone"	"acetoxolone"	1001
"A02BX10"	"zolimidine"	"zolimidine"	"zolimidine"	1001
"A02BX11"	"troxipide"	"troxipide"	"troxipide"	1001
"A02BX12"	"bizmut-sók"	"bismuth subnitrate"	"bizmut-sók"	1001
"A02BX13"	"alginic acid"	"alginic acid"	"alginic acid"	1001
"A02BX15"				1001
"A02BX51"	"carbenoxolone, combinations excl. psycholeptics"	"carbenoxolone, combinations excl. psycholeptics"	"carbenoxolone, combinations excl. psycholeptics"	1001
"A02BX71"	"carbenoxolone, combinations with psycholeptics"	"carbenoxolone, combinations with psycholeptics"	"carbenoxolone, combinations with psycholeptics"	1001
"A02BX77"	"gefarnate, combinations with psycholeptics"	"gefarnate, combinations with psycholeptics"	"gefarnate, combinations with psycholeptics"	1001
"A02D"	"felfúvódás elleni szerek"	"antiflatulents"		1001
"A02DA"	"felfúvódás elleni szerek"	"antiflatulents"		1001
"A02DA01"	"szilikonok"	"silicones"	"szilikonok"	1001
"A02DA51"	"szlikon származékok, kombinációk"		"szlikon származékok, kombinációk"	1001
"A02E"	"regurgitáció elleni szerek"	"antiregurgitants"		1001
"A02EA"	"regurgitáció elleni szerek"	"antiregurgitants"		1001
"A02EA01"	"alginic acid"	"alginic acid"	"alginic acid"	1001
"A02X"	"egyéb antacidumok, peptikus fekély és felvúvódás elleni készítmények"	"other antacids, drugs for treatment of peptic ulcer and flatulence"		1001
"A02XA"	"egyéb antacidok, peptikus fekély és felfúvódás elleni készitmények"			1001
"A03"	"görcsoldók, antikolinerg és propulzív szerek"	"antispasmodic and anticholinergic agents and propulsives"		1001
"A03A"	"szintetikus görcsoldók és antikolinerg szerek"	"synthetic antispasmodic and anticholinergic agents"		1001
"A03AA"	"szintetikus antikolinerg szerek, észterek tercier amino-csoporttal"	"synthetic anticholinergics, esters with tertiary amino group"		1001
"A03AA01"	"oxyphencyclimine"	"oxyphencyclimine"	"oxyphencyclimine"	1001
"A03AA03"	"camylofin"	"camylofin"	"camylofin"	1001
"A03AA04"	"mebeverine"	"mebeverine"	"mebeverine"	1001
"A03AA05"	"trimebutin"	"trimebutine"	"trimebutin"	1001
"A03AA06"	"rociverine"	"rociverine"	"rociverine"	1001
"A03AA07"	"dicycloverine"	"dicycloverine"	"dicycloverine"	1001
"A03AA08"	"dihexyverine"	"dihexyverine"	"dihexyverine"	1001
"A03AA09"	"difemerine"	"difemerine"	"difemerine"	1001
"A03AA30"	"piperidolate"	"piperidolate"	"piperidolate"	1001
"A03AB"	"szintetikus antikolinerg szerek, kvaterner ammónium-vegyületek"	"synthetic anticholinergics, quaternary ammonium compounds"		1001
"A03AB01"	"benzilone"	"benzilone"	"benzilone"	1001
"A03AB02"	"glycopyrronium"	"glycopyrronium"	"glycopyrronium"	1001
"A03AB03"	"oxyphenonium"	"oxyphenonium"	"oxyphenonium"	1001
"A03AB04"	"penthienate"	"penthienate"	"penthienate"	1001
"A03AB05"	"propantheline"	"propantheline"	"propantheline"	1001
"A03AB06"	"otilonium bromide"	"otilonium bromide"	"otilonium bromide"	1001
"A03AB07"	"methantheline"	"methantheline"	"methantheline"	1001
"A03AB08"	"tridihexethyl"	"tridihexethyl"	"tridihexethyl"	1001
"A03AB09"	"isopropamide"	"isopropamide"	"isopropamide"	1001
"A03AB10"	"hexocyclium"	"hexocyclium"	"hexocyclium"	1001
"A03AB11"	"poldine"	"poldine"	"poldine"	1001
"A03AB12"	"mepenzolate"	"mepenzolate"	"mepenzolate"	1001
"A03AB13"	"bevonium"	"bevonium"	"bevonium"	1001
"A03AB14"	"pipenzolate"	"pipenzolate"	"pipenzolate"	1001
"A03AB15"	"diphemanil"	"diphemanil"	"diphemanil"	1001
"A03AB16"	"(2-benzhydryloxyethyl)diethyl-methylammonium iodide"	"(2-benzhydryloxyethyl)diethyl-methylammonium iodide"	"(2-benzhydryloxyethyl)diethyl-methylammonium iodide"	1001
"A03AB17"	"tiemonium iodide"	"tiemonium iodide"	"tiemonium iodide"	1001
"A03AB18"	"prifinium bromide"	"prifinium bromide"	"prifinium bromide"	1001
"A03AB19"	"timepidium bromide"	"timepidium bromide"	"timepidium bromide"	1001
"A03AB20"	"trospium"	"trospium"	"trospium"	1001
"A03AB21"	"fenpiverinium"	"fenpiverinium"	"fenpiverinium"	1001
"A03AB53"	"oxyphenonium, combinations"	"oxyphenonium, combinations"	"oxyphenonium, combinations"	1001
"A03AC"	"szintetikus györcsoldók, amidok tercier aminokkal"	"synthetic antispasmodics, amides with tertiary amines"		1001
"A03AC02"	"dimethylaminopropionylphenothiazine"	"dimethylaminopropionylphenothiazine"	"dimethylaminopropionylphenothiazine"	1001
"A03AC04"	"nicofetamide"	"nicofetamide"	"nicofetamide"	1001
"A03AC05"	"tiropramide"	"tiropramide"	"tiropramide"	1001
"A03AD"	"papaverin és származékai"	"papaverine and derivatives"		1001
"A03AD01"	"papaverin"	"papaverine"	"papaverin"	1001
"A03AD02"	"drotaverin"	"drotaverine"	"drotaverin"	1001
"A03AD30"	"moxaverine"	"moxaverine"	"moxaverine"	1001
"A03AD51"	"papaverin kombinációk"		"papaverin kombinációk"	1001
"A03AD52"	"drotaverin kombinációk"		"drotaverin kombinációk"	1001
"A03AE"	"szerotonin receptoron ható szerek"			1001
"A03AE01"	"alosetron"		"alosetron"	1001
"A03AE02"	"tegaserod"		"tegaserod"	1001
"A03AE03"	"cilansetron"	"cilansetron"	"cilansetron"	1001
"A03AX"	"egyéb szintetikus antikolinerg szerek"	"other synthetic anticholinergic agents"		1001
"A03AX01"	"fenpiprane"	"fenpiprane"	"fenpiprane"	1001
"A03AX02"	"diisopromine"	"diisopromine"	"diisopromine"	1001
"A03AX03"	"chlorbenzoxamine"	"chlorbenzoxamine"	"chlorbenzoxamine"	1001
"A03AX04"	"pinaverin"	"pinaverium"	"pinaverium"	1001
"A03AX05"	"fenoverine"	"fenoverine"	"fenoverine"	1001
"A03AX06"	"idanpramine"	"idanpramine"	"idanpramine"	1001
"A03AX07"	"proxazole"	"proxazole"	"proxazole"	1001
"A03AX08"	"alverine"	"alverine"	"alverine"	1001
"A03AX09"	"trepibutone"	"trepibutone"	"trepibutone"	1001
"A03AX10"	"isometheptene"	"isometheptene"	"isometheptene"	1001
"A03AX11"	"caroverine"	"caroverine"	"caroverine"	1001
"A03AX12"	"phloroglucinol"		"phloroglucinol"	1001
"A03AX13"	"silicones"	"silicones"	"silicones"	1001
"A03AX30"	"trimethyldiphenylpropylamine"	"trimethyldiphenylpropylamine"	"trimethyldiphenylpropylamine"	1001
"A03AX38"				1001
"A03AX58"	"alverin és kombinációk"	"alverine, combinations"	"alverin és kombinációk"	1001
"A03B"	"belladonna és származékai, önmagukban"	"belladonna and derivatives, plain"		1001
"A03BA"	"belladonna alkaloidok, tercier aminok"	"belladonna alkaloids, tertiary amines"		1001
"A03BA01"	"atropin"	"atropine"	"atropin"	1001
"A03BA03"	"hyoscyamine"	"hyoscyamine"	"hyoscyamine"	1001
"A03BA04"	"belladonna total alkaloids"	"belladonna total alkaloids"	"belladonna total alkaloids"	1001
"A03BA23"				1001
"A03BB"	"félszintetikus belladonna alkaloidok, kvaterner ammónium-vegyületek"	"belladonna alkaloids, semisynthetic, quaternary ammonium compounds"		1001
"A03BB01"	"butylscopolamine"	"butylscopolamine"	"butylscopolamine"	1001
"A03BB02"	"methylatropine"	"methylatropine"	"methylatropine"	1001
"A03BB03"	"methylscopolamine"	"methylscopolamine"	"methylscopolamine"	1001
"A03BB04"	"fentonium"	"fentonium"	"fentonium"	1001
"A03BB05"	"cimetropium bromide"	"cimetropium bromide"	"cimetropium bromide"	1001
"A03C"	"görcsoldók és pszicholeptikumok kombinációi"	"antispasmodics in combination with psycholeptics"		1001
"A03CA"	"szintetikus antikolinerg szerek és pszicholeptikumok kombinációi"	"synthetic anticholinergic agents in combination with psycholeptics"		1001
"A03CA01"	"izopropamid - psziholeptikum kombinációk"	"isopropamide and psycholeptics"	"izopropamid - psziholeptikum kombinációk"	1001
"A03CA02"	"clidinium and psycholeptics"	"clidinium and psycholeptics"	"clidinium and psycholeptics"	1001
"A03CA03"	"oxyphencyclimine and psycholeptics"	"oxyphencyclimine and psycholeptics"	"oxyphencyclimine and psycholeptics"	1001
"A03CA04"	"otilonium bromide and psycholeptics"	"otilonium bromide and psycholeptics"	"otilonium bromide and psycholeptics"	1001
"A03CA05"	"glycopyrronium and psycholeptics"	"glycopyrronium and psycholeptics"	"glycopyrronium and psycholeptics"	1001
"A03CA06"	"bevonium and psycholeptics"	"bevonium and psycholeptics"	"bevonium and psycholeptics"	1001
"A03CA07"	"ambutonium and psycholeptics"	"ambutonium and psycholeptics"	"ambutonium and psycholeptics"	1001
"A03CA08"	"diphemanil and psycholeptics"	"diphemanil and psycholeptics"	"diphemanil and psycholeptics"	1001
"A03CA30"	"emepronium and psycholeptics"	"emepronium and psycholeptics"	"emepronium and psycholeptics"	1001
"A03CA34"	"propantheline and psycholeptics"	"propantheline and psycholeptics"	"propantheline and psycholeptics"	1001
"A03CB"	"belladonna és származékai pszicholeptikummal kombinálva"	"belladonna and derivatives in combination with psycholeptics"		1001
"A03CB01"	"methylscopolamine and psycholeptics"	"methylscopolamine and psycholeptics"	"methylscopolamine and psycholeptics"	1001
"A03CB02"	"belladonna total alkaloids and psycholeptics"	"belladonna total alkaloids and psycholeptics"	"belladonna total alkaloids and psycholeptics"	1001
"A03CB03"	"atropine and psycholeptics"	"atropine and psycholeptics"	"atropine and psycholeptics"	1001
"A03CB04"	"metilhomatropin és pszicholeptikum kombinációk"	"methylhomatropine and psycholeptics"	"methilhomatropin psycholeptikummal kombinálva"	1001
"A03CB31"	"hyoscyamine and psycholeptics"	"hyoscyamine and psycholeptics"	"hyoscyamine and psycholeptics"	1001
"A03CC"	"egyéb görcsoldó és pszicholeptikum kombinációk"	"other antispasmodics in combination with psycholeptics"		1001
"A03D"	"görcsoldók és fájdalomcsillapitók kombinációi"	"antispasmodics in combination with analgesics"		1001
"A03DA"	"szintetikus antikolinerg szerek és fájdalomcsillapítók kombinációi"	"synthetic anticholinergic agents in combination with analgesics"		1001
"A03DA01"	"tropenzilone and analgesics"	"tropenzilone and analgesics"	"tropenzilone and analgesics"	1001
"A03DA02"	"pitofenone and analgesics"	"pitofenone and analgesics"	"pitofenone and analgesics"	1001
"A03DA03"	"bevonium and analgesics"	"bevonium and analgesics"	"bevonium and analgesics"	1001
"A03DA04"	"ciclonium and analgesics"	"ciclonium and analgesics"	"ciclonium and analgesics"	1001
"A03DA05"	"camylofin and analgesics"	"camylofin and analgesics"	"camylofin and analgesics"	1001
"A03DA06"	"trospium and analgesics"	"trospium and analgesics"	"trospium and analgesics"	1001
"A03DA07"	"tiemonium iodide and analgesics"	"tiemonium iodide and analgesics"	"tiemonium iodide and analgesics"	1001
"A03DB"	"belladonna és származékai fájdalomcsillapítókkal kombinálva"	"belladonna and derivatives in combination with analgesics"		1001
"A03DB01"	"belladonna és származékaik analgetikumokkal kombinálva"		"belladonna és származékaik analgetikumokkal kombinálva"	1001
"A03DB04"	"butylscopolamine and analgesics"	"butylscopolamine and analgesics"	"butylscopolamine and analgesics"	1001
"A03DB18"	"atropin-metilbromid és analgetikum kombinációja"		"atropin-metilbromid és analgetikum kombinációja"	1001
"A03DB19"	"metilhomatropin és analgetikum kombinációja"		"metilhomatropin és analgetikum kombinációja"	1001
"A03DC"	"egyéb görcsoldók fájdalomcsillapítókkal kombinálva"	"other antispasmodics in combination with analgesics"		1001
"A03E"	"görcsoldók és antikolinerg szerek más gyógyszerekkel kombinálva"	"antispasmodics and anticholinergics in combination with other drugs"		1001
"A03EA"	"görcsoldók, pszicholeptikumok és fájdalomcsillapítók kombinációi"	"antispasmodics, psycholeptics and analgesics in combination"		1001
"A03EA18"	"görcsoldók, psycholeptikumok és fájdalomcsillapítók kombinációi, k.m.n."		"psycholeptikumok"	1001
"A03EA19"				1001
"A03ED"	"görcsoldók és más gyógyszerek kombinációi"	"antispasmodics in combination with other drugs"		1001
"A03ED19"				1001
"A03F"	"propulzív szerek"	"propulsives"		1001
"A03FA"	"propulzívok"	"propulsives"		1001
"A03FA01"	"metoklopiramid"	"metoclopramide"	"metoclopramid"	1001
"A03FA02"	"cizaprid"	"cisapride"	"cizaprid"	1001
"A03FA03"	"domperidon"	"domperidone"	"domperidon"	1001
"A03FA04"	"bromopride"	"bromopride"	"bromopride"	1001
"A03FA05"	"alizapride"	"alizapride"	"alizapride"	1001
"A03FA06"	"clebopride"	"clebopride"	"clebopride"	1001
"A04"	"hányáscsillapítók és émelygés elleni szerek"	"antiemetics and antinauseants"		1001
"A04A"	"hányáscsillapítók és émelygés elleni szerek"	"antiemetics and antinauseants"		1001
"A04AA"	"szerotonin antagonisták"	"serotonin (5ht3) antagonists"		1001
"A04AA01"	"ondansentron"	"ondansetron"	"ondansetron"	1001
"A04AA02"	"granisentron"	"granisetron"	"granisetron"	1001
"A04AA03"	"tropisentron"	"tropisetron"	"tropisetron"	1001
"A04AA04"	"dolasetron"	"dolasetron"	"dolasetron"	1001
"A04AA05"	"palonosetron"		"palonosetron"	1001
"A04AD"	"egyéb hányáscsillapítók"	"other antiemetics"		1001
"A04AD01"	"scopolamine"	"scopolamine"	"scopolamine"	1001
"A04AD02"	"cerium oxalate"	"cerium oxalate"	"cerium oxalate"	1001
"A04AD04"	"chlorobutanol"	"chlorobutanol"	"chlorobutanol"	1001
"A04AD05"	"metopimazine"	"metopimazine"	"metopimazine"	1001
"A04AD10"	"dronabinol"	"dronabinol"	"dronabinol"	1001
"A04AD11"	"nabilone"	"nabilone"	"nabilone"	1001
"A04AD12"	"aprepitant"	"aprepitant"	"aprepitant"	1001
"A04AD51"	"scopolamine, combinations"	"scopolamine, combinations"	"scopolamine, combinations"	1001
"A04AD54"	"chlorobutanol, combinations"	"chlorobutanol, combinations"	"chlorobutanol, combinations"	1001
"A05"	"epe- és májbetegségek gyógyszerei"	"bile and liver therapy"		1001
"A05A"	"epebetegségek gyógyszerei"	"bile therapy"		1001
"A05AA"	"epesav-készítmények"	"bile acid preparations"		1001
"A05AA01"	"chenodeoxikólsav"	"chenodeoxycholic acid"	"chenodeoxycholic acid"	1001
"A05AA02"	"ursodeoxikólsav"	"ursodeoxycholic acid"	"ursodeoxikólsav"	1001
"A05AA03"	"cholic acid"	"cholic acid"	"cholic acid"	1001
"A05AA19"	"dehidrokólsav"		"dehidrokólsav"	1001
"A05AA68"	"kólsav kombinációk"		"kólsav kombinációk"	1001
"A05AA69"	"choleinic sodium+"		"epesav-készítmények, k.m.n."	1001
"A05AB"	"az epeutak terápiás készítményei"	"preparations for biliary tract therapy"		1001
"A05AB01"	"nikotinil-metilamid"	"nicotinyl methylamide"	"nikotinil-metilamid"	1001
"A05AB02"				1001
"A05AX"	"az epebetegségek egyéb terápiás készítményei"	"other drugs for bile therapy"		1001
"A05AX01"	"piprozolin"	"piprozolin"	"piprozolin"	1001
"A05AX02"	"hymecromone"	"hymecromone"	"hymecromone"	1001
"A05AX03"	"cyclobutyrol"	"cyclobutyrol"	"cyclobutyrol"	1001
"A05AX16"				1001
"A05AX17"				1001
"A05AX19"	"extractum fumariae"		"extractum fumariae"	1001
"A05AX20"	"epebetegségekre egyéb kombinációk"		"az epebetegségek egyéb terápiás készítményei, k.m.n.(2)"	1001
"A05B"	"májvédõk, zsírosodásgátlók"	"liver therapy, lipotropics"		1001
"A05BA"	"májvédõk"	"liver therapy"		1001
"A05BA01"	"arginin-glutamát"	"arginine glutamate"	"arginin-glutamát"	1001
"A05BA03"	"silymarin"	"silymarin"	"silymarin"	1001
"A05BA04"	"citiolone"	"citiolone"	"citiolone"	1001
"A05BA05"	"epomediol"	"epomediol"	"epomediol"	1001
"A05BA06"	"ornithine oxoglurate"	"ornithine oxoglurate"	"ornithine oxoglurate"	1001
"A05BA07"	"tidiacic arginine"	"tidiacic arginine"	"tidiacic arginine"	1001
"A05BA08"				1001
"A05BA17"	"l-ornitin-l-aszpartát"		"l-ornitin-l-aszpartát"	1001
"A05BA19"	"l-arginin - d,l-almasav kombináció"		"l-arginin - d,l-almasav kombináció"	1001
"A05BA20"				1001
"A05BA21"				1001
"A05BA51"	"silymarin+"		"silymarin+"	1001
"A05BA53"	"silymarin kombinációk"		"silymarin kombinációk"	1001
"A05C"	"epebetegségek gyógyszerei és zsírosodásgátlók kombinációi"	"drugs for bile therapy and lipotropics in combination"		1001
"A05CX"				1001
"A05CX19"	"extr. sylibi mariani+"		"extr. sylibi mariani+"	1001
"A06"	"hashajtók"	"laxatives"		1001
"A06A"	"hashajtók"	"laxatives"		1001
"A06AA"	"lágyítók, lazítók"	"softeners, emollients"		1001
"A06AA01"	"liquid paraffin"	"liquid paraffin"	"liquid paraffin"	1001
